Country,Flow,Unit,Product,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Lithuania,Exports,Millions of USD,0--All Merchandise,$681 ,$528 ,$464 ,$609 ,$706 ,$934 ,"$1,032 ","$1,256 ","$2,601 ","$2,944 ","$1,929 "
Georgia,Exports,Millions of USD,0--All Merchandise,$628 ,$340 ,$324 ,$383 ,$478 ,$769 ,$436 ,$656 ,"$1,237 ","$1,512 ","$1,736 "
Ukraine,Exports,Millions of USD,0--All Merchandise,"$1,239 ",$862 ,"$1,077 ","$1,788 ","$2,487 ","$2,457 ","$1,908 ","$2,522 ","$1,428 ","$1,048 ","$1,684 "
Iraq,Exports,Millions of USD,0--All Merchandise,"$2,106 ","$1,973 ","$1,266 ","$1,205 ","$1,312 ","$1,189 ",$770 ,$828 ,$899 ,"$2,256 ","$1,661 "
Uruguay,Exports,Millions of USD,0--All Merchandise,"$1,607 ","$1,295 ","$1,114 ","$1,588 ","$1,384 ","$1,616 ","$1,217 ","$1,804 ","$2,904 ","$1,880 ","$1,649 "
Bahrain,Exports,Millions of USD,0--All Merchandise,"$1,060 ","$1,271 ",$899 ,$898 ,"$2,042 ","$1,406 ",$885 ,$934 ,$950 ,"$1,676 ","$1,646 "
Guyana,Exports,Millions of USD,0--All Merchandise,$370 ,$368 ,$444 ,$377 ,$541 ,$672 ,$655 ,"$1,012 ","$1,181 ","$1,360 ","$1,315 "
Cayman Islands,Exports,Millions of USD,0--All Merchandise,$814 ,$685 ,$753 ,$886 ,$952 ,"$1,125 ",$752 ,"$1,175 ","$1,497 ","$1,333 ","$1,286 "
Romania,Exports,Millions of USD,0--All Merchandise,$977 ,$754 ,$696 ,$954 ,"$1,114 ",$950 ,$923 ,"$1,412 ","$1,350 ","$1,305 ","$1,259 "
Haiti,Exports,Millions of USD,0--All Merchandise,"$1,274 ","$1,141 ","$1,091 ","$1,423 ","$1,414 ","$1,262 ","$1,399 ","$1,295 ","$1,378 ","$1,296 ","$1,214 "
Luxembourg,Exports,Millions of USD,0--All Merchandise,"$1,516 ","$1,394 ","$1,446 ","$1,078 ","$1,084 ","$1,922 ","$1,352 ","$1,530 ","$1,648 ","$2,366 ","$1,137 "
Kazakhstan,Exports,Millions of USD,0--All Merchandise,"$1,008 ",$510 ,"$1,111 ",$552 ,$729 ,$740 ,$509 ,$806 ,"$1,082 ","$1,161 ","$1,077 "
Saint Lucia,Exports,Millions of USD,0--All Merchandise,$694 ,$515 ,$439 ,$556 ,$590 ,$822 ,$621 ,$534 ,$892 ,$692 ,"$1,044 "
Ethiopia,Exports,Millions of USD,0--All Merchandise,"$1,669 ","$1,555 ",$826 ,$877 ,"$1,308 ","$1,011 ",$911 ,$575 ,"$1,084 ","$1,220 ","$1,018 "
Algeria,Exports,Millions of USD,0--All Merchandise,"$2,617 ","$1,876 ","$2,191 ","$1,062 ","$1,261 ","$1,000 ",$735 ,$784 ,"$1,198 ","$1,201 ","$1,015 "
Croatia,Exports,Millions of USD,0--All Merchandise,$340 ,$332 ,$291 ,$447 ,$615 ,$711 ,$316 ,$731 ,"$1,466 ","$1,020 ",$994 
Iceland,Exports,Millions of USD,0--All Merchandise,$375 ,$415 ,$448 ,$399 ,$670 ,$555 ,$292 ,$629 ,$634 ,$328 ,$986 
Ghana,Exports,Millions of USD,0--All Merchandise,"$1,186 ",$950 ,$832 ,$860 ,$769 ,$840 ,$829 ,$957 ,$975 ,$861 ,$967 
Curacao,Exports,Millions of USD,0--All Merchandise,$612 ,$521 ,$877 ,$704 ,$729 ,$410 ,$350 ,$342 ,$521 ,$510 ,$824 
Kenya,Exports,Millions of USD,0--All Merchandise,"$1,641 ",$943 ,$397 ,$454 ,$365 ,$401 ,$372 ,$559 ,$571 ,$485 ,$783 
Barbados,Exports,Millions of USD,0--All Merchandise,$540 ,$595 ,$482 ,$527 ,$583 ,$568 ,$505 ,$744 ,$820 ,$715 ,$773 
Sint Maarten,Exports,Millions of USD,0--All Merchandise,$778 ,$741 ,$715 ,$554 ,$677 ,$692 ,$335 ,$383 ,$699 ,$847 ,$754 
Aruba,Exports,Millions of USD,0--All Merchandise,"$1,300 ","$1,168 ",$801 ,$975 ,$614 ,$560 ,$309 ,$541 ,$643 ,$633 ,$726 
Turks and Caicos Islands,Exports,Millions of USD,0--All Merchandise,$282 ,$280 ,$297 ,$370 ,$356 ,$346 ,$260 ,$379 ,$569 ,$597 ,$714 
Angola,Exports,Millions of USD,0--All Merchandise,"$2,039 ","$1,166 ","$1,250 ",$809 ,$525 ,$535 ,$470 ,$445 ,$651 ,$599 ,$682 
Gibraltar,Exports,Millions of USD,0--All Merchandise,"$2,531 ","$1,979 ","$1,634 ","$1,140 ","$1,357 ","$1,259 ",$828 ,$784 ,$274 ,$280 ,$651 
Côte d'Ivoire,Exports,Millions of USD,0--All Merchandise,$239 ,$266 ,$291 ,$322 ,$309 ,$279 ,$219 ,$361 ,$506 ,$516 ,$597 
Belize,Exports,Millions of USD,0--All Merchandise,$237 ,$285 ,$267 ,$295 ,$407 ,$406 ,$395 ,$412 ,$508 ,$646 ,$590 
Cuba,Exports,Millions of USD,0--All Merchandise,$299 ,$186 ,$242 ,$291 ,$271 ,$286 ,$177 ,$327 ,$372 ,$404 ,$586 
Antigua and Barbuda,Exports,Millions of USD,0--All Merchandise,$217 ,$678 ,$262 ,$426 ,$514 ,$490 ,$291 ,$574 ,"$1,057 ",$973 ,$574 
"Tanzania, United Republic of",Exports,Millions of USD,0--All Merchandise,$302 ,$173 ,$158 ,$145 ,$332 ,$333 ,$243 ,$282 ,$260 ,$445 ,$573 
Libya,Exports,Millions of USD,0--All Merchandise,$532 ,$231 ,$190 ,$135 ,$244 ,$412 ,$290 ,$295 ,$291 ,$446 ,$567 
Slovakia,Exports,Millions of USD,0--All Merchandise,$445 ,$380 ,$293 ,$442 ,$289 ,$389 ,$333 ,$337 ,$375 ,$427 ,$553 
Latvia,Exports,Millions of USD,0--All Merchandise,$428 ,$267 ,$273 ,$382 ,$510 ,$552 ,$306 ,$413 ,$418 ,"$1,012 ",$546 
Lebanon,Exports,Millions of USD,0--All Merchandise,"$1,268 ","$1,286 ","$1,170 ","$1,221 ","$1,328 ","$1,004 ",$678 ,$665 ,$766 ,$536 ,$541 
Bermuda,Exports,Millions of USD,0--All Merchandise,$647 ,$601 ,$628 ,$694 ,$612 ,$578 ,$459 ,$552 ,$648 ,$568 ,$540 
Russia,Exports,Millions of USD,0--All Merchandise,"$10,752 ","$7,087 ","$5,831 ","$7,003 ","$6,658 ","$5,787 ","$4,889 ","$6,388 ","$1,656 ",$600 ,$526 
Tunisia,Exports,Millions of USD,0--All Merchandise,$831 ,$602 ,$527 ,$544 ,$597 ,$461 ,$429 ,$466 ,$552 ,$553 ,$504 
Bulgaria,Exports,Millions of USD,0--All Merchandise,$359 ,$289 ,$269 ,$381 ,$370 ,$462 ,$375 ,$339 ,$531 ,$511 ,$489 
Guadeloupe,Exports,Millions of USD,0--All Merchandise,$427 ,$101 ,$145 ,$244 ,$320 ,$206 ,$244 ,$272 ,$473 ,$485 ,$471 
Bolivia,Exports,Millions of USD,0--All Merchandise,"$1,009 ",$932 ,$657 ,$595 ,$560 ,$552 ,$448 ,$553 ,$494 ,$504 ,$401 
Mongolia,Exports,Millions of USD,0--All Merchandise,$167 ,$69 ,$55 ,$82 ,$121 ,$193 ,$118 ,$148 ,$149 ,$168 ,$397 
Suriname,Exports,Millions of USD,0--All Merchandise,$519 ,$444 ,$304 ,$360 ,$388 ,$382 ,$267 ,$301 ,$532 ,$483 ,$384 
Uzbekistan,Exports,Millions of USD,0--All Merchandise,$213 ,$138 ,$318 ,$136 ,$297 ,$506 ,$181 ,$401 ,$271 ,$343 ,$381 
Estonia,Exports,Millions of USD,0--All Merchandise,$309 ,$289 ,$257 ,$274 ,$346 ,$411 ,$345 ,$450 ,$405 ,$369 ,$374 
Sri Lanka,Exports,Millions of USD,0--All Merchandise,$351 ,$362 ,$368 ,$336 ,$371 ,$390 ,$359 ,$390 ,$337 ,$351 ,$368 
Malta,Exports,Millions of USD,0--All Merchandise,$918 ,$491 ,$292 ,$293 ,$201 ,$143 ,$138 ,$130 ,$268 ,$424 ,$361 
Senegal,Exports,Millions of USD,0--All Merchandise,$171 ,$199 ,$184 ,$208 ,$289 ,$197 ,$281 ,$382 ,$359 ,$348 ,$351 
Slovenia,Exports,Millions of USD,0--All Merchandise,$301 ,$346 ,$331 ,$372 ,$322 ,$344 ,$298 ,$242 ,$396 ,$363 ,$332 
Cambodia,Exports,Millions of USD,0--All Merchandise,$328 ,$391 ,$361 ,$400 ,$446 ,$514 ,$344 ,$415 ,$446 ,$307 ,$322 
British Virgin Islands,Exports,Millions of USD,0--All Merchandise,$388 ,$260 ,$333 ,$400 ,$823 ,$581 ,$284 ,$273 ,$485 ,$441 ,$313 
Togo,Exports,Millions of USD,0--All Merchandise,"$1,025 ",$312 ,$229 ,$456 ,$646 ,$437 ,$310 ,$235 ,$388 ,$393 ,$284 
"Macau, SAR of China",Exports,Millions of USD,0--All Merchandise,$433 ,$542 ,$632 ,$501 ,$602 ,$572 ,$183 ,$220 ,$250 ,$526 ,$275 
Azerbaijan,Exports,Millions of USD,0--All Merchandise,$950 ,$478 ,$434 ,$355 ,$314 ,$374 ,$162 ,$132 ,$186 ,$542 ,$255 
Democratic Republic of Congo,Exports,Millions of USD,0--All Merchandise,$182 ,$136 ,$83 ,$76 ,$78 ,$132 ,$152 ,$212 ,$148 ,$187 ,$253 
Congo,Exports,Millions of USD,0--All Merchandise,$322 ,$249 ,$131 ,$117 ,$100 ,$109 ,$99 ,$114 ,$180 ,$201 ,$237 
Liberia,Exports,Millions of USD,0--All Merchandise,$185 ,$136 ,$158 ,$138 ,$197 ,$114 ,$93 ,$140 ,$261 ,$251 ,$220 
Benin,Exports,Millions of USD,0--All Merchandise,$781 ,$631 ,$235 ,$250 ,$254 ,$266 ,$197 ,$292 ,$286 ,$241 ,$216 
Serbia,Exports,Millions of USD,0--All Merchandise,$135 ,$126 ,$145 ,$125 ,$166 ,$151 ,$142 ,$181 ,$247 ,$239 ,$210 
Martinique,Exports,Millions of USD,0--All Merchandise,$331 ,$133 ,$145 ,$167 ,$248 ,$132 ,$118 ,$160 ,$287 ,$385 ,$199 
Cameroon,Exports,Millions of USD,0--All Merchandise,$301 ,$225 ,$190 ,$159 ,$193 ,$200 ,$187 ,$149 ,$192 ,$219 ,$193 
Cyprus,Exports,Millions of USD,0--All Merchandise,$152 ,$102 ,$183 ,$82 ,$132 ,$204 ,$103 ,$250 ,$120 ,$188 ,$183 
Gabon,Exports,Millions of USD,0--All Merchandise,$417 ,$204 ,$85 ,$89 ,$113 ,$129 ,$92 ,$129 ,$133 ,$180 ,$171 
Grenada,Exports,Millions of USD,0--All Merchandise,$84 ,$90 ,$87 ,$103 ,$119 ,$119 ,$99 ,$125 ,$168 ,$202 ,$165 
Monaco,Exports,Millions of USD,0--All Merchandise,$128 ,$71 ,$69 ,$42 ,$229 ,$54 ,$50 ,$64 ,$42 ,$72 ,$163 
Armenia,Exports,Millions of USD,0--All Merchandise,$60 ,$50 ,$44 ,$55 ,$46 ,$53 ,$28 ,$45 ,$195 ,$189 ,$161 
Namibia,Exports,Millions of USD,0--All Merchandise,$343 ,$128 ,$213 ,$115 ,$205 ,$191 ,$60 ,$93 ,$226 ,$177 ,$161 
Saint Kitts and Nevis,Exports,Millions of USD,0--All Merchandise,$180 ,$150 ,$145 ,$244 ,$209 ,$197 ,$136 ,$144 ,$174 ,$178 ,$160 
Mozambique,Exports,Millions of USD,0--All Merchandise,$375 ,$264 ,$149 ,$177 ,$183 ,$196 ,$127 ,$190 ,$235 ,$190 ,$150 
French Polynesia,Exports,Millions of USD,0--All Merchandise,$130 ,$120 ,$100 ,$120 ,$288 ,$651 ,$126 ,$129 ,$148 ,$164 ,$145 
Djibouti,Exports,Millions of USD,0--All Merchandise,$111 ,$145 ,$133 ,$157 ,$111 ,$150 ,$185 ,$187 ,$172 ,$177 ,$145 
Saint Vincent and the Grenadines,Exports,Millions of USD,0--All Merchandise,$104 ,$85 ,$94 ,$81 ,$82 ,$103 ,$78 ,$102 ,$150 ,$175 ,$143 
Albania,Exports,Millions of USD,0--All Merchandise,$51 ,$31 ,$50 ,$62 ,$59 ,$86 ,$57 ,$98 ,$117 ,$139 ,$142 
Mauritania,Exports,Millions of USD,0--All Merchandise,$149 ,$126 ,$116 ,$128 ,$88 ,$91 ,$128 ,$132 ,$154 ,$167 ,$140 
Guinea,Exports,Millions of USD,0--All Merchandise,$65 ,$135 ,$84 ,$103 ,$127 ,$128 ,$136 ,$152 ,$120 ,$183 ,$138 
Yemen,Exports,Millions of USD,0--All Merchandise,$369 ,$158 ,$171 ,$199 ,$191 ,$270 ,$329 ,$271 ,$378 ,$192 ,$134 
Kyrgyzstan,Exports,Millions of USD,0--All Merchandise,$72 ,$32 ,$20 ,$26 ,$17 ,$21 ,$32 ,$34 ,$61 ,$141 ,$133 
Marshall Islands,Exports,Millions of USD,0--All Merchandise,$95 ,$54 ,$283 ,$557 ,$290 ,$105 ,$120 ,$233 ,$207 ,$73 ,$127 
Brunei,Exports,Millions of USD,0--All Merchandise,$549 ,$133 ,$614 ,$121 ,$266 ,$288 ,$146 ,$101 ,$114 ,$142 ,$127 
Nepal,Exports,Millions of USD,0--All Merchandise,$36 ,$36 ,$40 ,$76 ,$56 ,$123 ,$94 ,$197 ,$259 ,$63 ,$121 
