Partner ,Flow,Start Year,State,Unit,Product ,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Albania,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$8 ,$6 ,$10 ,$16 ,$13 ,$36 ,$15 ,$33 ,$17 ,$26 ,$22 
Uzbekistan,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$8 ,$6 ,$13 ,$11 ,$3 ,$10 ,$5 ,$13 ,$19 ,$26 ,$21 
"Tanzania, United Republic of",Exports,TRUE,New York,Millions of USD,0--All Merchandise,$8 ,$3 ,$4 ,$3 ,$4 ,$2 ,$2 ,$4 ,$15 ,$4 ,$21 
Bulgaria,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$8 ,$9 ,$7 ,$8 ,$17 ,$20 ,$20 ,$18 ,$17 ,$19 ,$20 
Haiti,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$70 ,$143 ,$89 ,$117 ,$50 ,$38 ,$44 ,$33 ,$89 ,$12 ,$18 
Venezuela,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$97 ,$75 ,$42 ,$11 ,$108 ,$19 ,$8 ,$9 ,$15 ,$16 ,$18 
Macedonia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$2 ,$3 ,$3 ,$4 ,$6 ,$2 ,$8 ,$0 ,$8 ,$13 ,$15 
Sri Lanka,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$38 ,$16 ,$13 ,$11 ,$9 ,$10 ,$13 ,$27 ,$18 ,$14 ,$13 
Cambodia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$25 ,$36 ,$17 ,$21 ,$21 ,$24 ,$17 ,$18 ,$42 ,$20 ,$13 
Guinea,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$8 ,$10 ,$9 ,$9 ,$11 ,$9 ,$14 ,$23 ,$15 ,$13 ,$12 
"Moldova, Republic of",Exports,TRUE,New York,Millions of USD,0--All Merchandise,$2 ,$2 ,$1 ,$1 ,$0 ,$3 ,$1 ,$4 ,$1 ,$2 ,$12 
Togo,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$21 ,$6 ,$5 ,$4 ,$5 ,$7 ,$11 ,$19 ,$12 ,$13 ,$12 
Turks and Caicos Islands,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$3 ,$4 ,$4 ,$11 ,$7 ,$10 ,$5 ,$5 ,$4 ,$7 ,$11 
Barbados,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$11 ,$15 ,$7 ,$8 ,$10 ,$9 ,$9 ,$17 ,$12 ,$11 ,$11 
Antigua and Barbuda,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$6 ,$3 ,$3 ,$17 ,$4 ,$5 ,$2 ,$2 ,$3 ,$4 ,$10 
Armenia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$9 ,$7 ,$7 ,$10 ,$8 ,$16 ,$4 ,$4 ,$26 ,$24 ,$10 
Iceland,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$24 ,$34 ,$39 ,$32 ,$30 ,$10 ,$18 ,$8 ,$8 ,$7 ,$10 
Algeria,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$126 ,$96 ,$54 ,$64 ,$101 ,$29 ,$14 ,$26 ,$27 ,$14 ,$10 
Slovakia,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$19 ,$23 ,$17 ,$21 ,$14 ,$19 ,$20 ,$10 ,$9 ,$13 ,$9 
Cuba,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$0 ,$1 ,$1 ,$0 ,$5 ,$6 ,$4 ,$4 ,$3 ,$5 ,$9 
Côte d'Ivoire,Exports,TRUE,New York,Millions of USD,0--All Merchandise,$26 ,$23 ,$10 ,$11 ,$8 ,$8 ,$8 ,$32 ,$9 ,$11 ,$9 
